CV,250,
MMA,18,
Carga util,9.5,
Num ejes,2,
Num servicios por veh,5.23,
Kilometraje anual,31667,
% Kilometraje anual vacio,25,
Horas anuales trabajadas,1768,
Dias de actividad,221,
,Cabeza tractora o camion,Semirremolque o carrozado
Precio venta sin IVA,57020,16047.65
Dto. Medio sobre tarifa,5.4,4
Valor residual %,20,20
Periodo amortizacion,10,10
,,
Veh. Cuantia a financiar,70,
Periodo a financiar,5,
Tipo interes anual,5.8,
Seguridad social empresa %,39.4,
Retribucion 1 conductor mecanico,24901.95,
Plus de asistencia,0,
Visado autorizacion de Tte,44,
Impuesto Veh. Traccion Mec,283.19,
Coste ITV,58.31,
Coste IAE,0,
Coste revision tacografo,61.68,
Coste ATP,0,
Coste ADR,0,
Seguro solo obligatorio,0,
Seguro obligatorio + terceros,1843.33,
Seguro todo riesgo,0,
Seguro mercancia,267.7,
Responsabilidad civil,2178.1,
Otros gastos fijos,0,
Precio bruto gasoleo,1.31,
Descuento medio sobre combustible,3,
Consumo medio,32.5,
Dieta media,12.96,
Num de dias,165,
Precio bruto neumaticos,705.57,
Descuento medio neumaticos (%),8.71,
Duracion media neumaticos,87500,
Num total de neumaticos,6,
Mantenimiento y reparacion,0.04,
Coste medio Km de autopista,3.9,
% servicios que pagan peajes,11.67,
Gastos anuales generales,0,
